lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
CodeChangesWithTool,~,NudgeType,h1,0.4153911564625856,0.1935443409564466,2.146232508839209,0.03185443315420633,0.03277270789322911,0.7878801399257699,0.4153911564625856,0.21563449450079006
dRiskTolerance,~,CodeChangesWithTool,h2a,0.025759572641580887,0.013158516426190174,1.9576350256560904,0.050272854354738605,1.9437177424601237e-4,0.05187361785989766,0.025759572641580887,0.15103815566576143
dRiskTolerance,~,NudgeType,h3a,-0.05965282749186456,0.028449986901126365,-2.0967611584208794,0.0360147235477446,-0.11549402677064766,-0.004824141852101861,-0.05965282749186456,-0.18156830634347357
dRiskTolerance,~,PreRiskTolerance,c1,-0.47750413025987926,0.10254173171982085,-4.6566809654101045,3.21347823839524e-6,-0.6733016990302275,-0.2775666264035868,-0.47750413025987926,-0.5145782087231597
dSelfEfficacy,~,CodeChangesWithTool,h2b,0.05833642984399772,0.051913392150355044,1.1237260257437973,0.26112927195948465,-0.040750084042607645,0.16138286295137078,0.05833642984399772,0.10800141739394245
dSelfEfficacy,~,PreSelfEfficacy,c2,-0.2866868212687027,0.08327552542786297,-3.4426299899727897,5.760869266251412e-4,-0.4555398091297998,-0.12356873020661319,-0.2866868212687027,-0.3688463944655017
dTrust,~,CodeChangesWithTool,h2c,-0.06754845498461043,0.05049208977823383,-1.3378027188276385,0.18096075537324952,-0.17128437005563016,0.028480330581714137,-0.06754845498461043,-0.12868302471810716
dTrust,~,NudgeType,h3b,0.23404869831279435,0.10412108640126104,2.2478510972390287,0.02458568636314129,0.03602534657244069,0.44545752192168514,0.23404869831279435,0.2314584600718669
dTrust,~,PreTrust,c3,-0.08481736531652337,0.04646395445669478,-1.8254443968081675,0.06793399476638085,-0.18267379503183823,-0.002069887631219359,-0.08481736531652337,-0.159644036169319
dBehavioralIntention,~,dRiskTolerance,h4a,0.4945283817356556,0.2785560599904785,1.7753280318243998,0.07584373947943712,-0.026504109380053313,1.0769958790254903,0.4945283817356556,0.19738825364208198
dBehavioralIntention,~,dSelfEfficacy,h4b,0.2900713266922831,0.0804648712463801,3.604943650554,3.122206649117665e-4,0.13361960609730664,0.448648420952862,0.2900713266922831,0.3666851282580732
dBehavioralIntention,~,dTrust,h4c,0.06989881518770011,0.06985887610019133,1.0005717109941978,0.3170339123049153,-0.08396790585939018,0.19364532555932965,0.06989881518770011,0.0858701214556362
dBehavioralIntention,~,Motivation,h5,0.0013712738960274303,0.039767831718911656,0.03448198799773433,0.9724928053022561,-0.07887737107144147,0.07925075116585976,0.0013712738960274303,0.003010365158848207
dBehavioralIntention,~,PreBehavioralIntention,c4,-0.17442551873960202,0.047086169754286006,-3.704389625442511,2.1190034746765285e-4,-0.26809703787908135,-0.07955061893446314,-0.17442551873960202,-0.30799291315209976
CodeChangesWithTool,~~,CodeChangesWithTool,,0.8844896205905052,0.11322144108963314,7.812032880682804,5.551115123125783e-15,0.655207197235322,1.0919197923486061,0.8844896205905052,0.9535017647813887
dRiskTolerance,~~,dRiskTolerance,,0.018326917404034835,0.0025592012840730555,7.161186389710982,7.998046669399628e-13,0.012566979223443023,0.022656279083325674,0.018326917404034835,0.6792258768703057
dSelfEfficacy,~~,dSelfEfficacy,,0.2311143800789008,0.03888818416980547,5.943048898085306,2.797689413469584e-9,0.15202320991252713,0.30381584079275675,0.2311143800789008,0.8539549198206767
dTrust,~~,dTrust,,0.23138786972794587,0.04726080826803537,4.895977834650026,9.781809222619842e-7,0.14246344160671373,0.3238827207549935,0.23138786972794587,0.9052760465561124
dBehavioralIntention,~~,dBehavioralIntention,,0.11429853972157811,0.01917654778143692,5.960329305581277,2.517301256332871e-9,0.0701644309054489,0.1456629839658015,0.11429853972157811,0.6748785872409678
NudgeType,~~,NudgeType,,0.2499730660871674,0.0037077848045430615,67.41843965185932,0,0.235944445829447,0.24997356475009058,0.2499730660871674,1
NudgeType,~~,PreRiskTolerance,,0.00694365868541846,0.008907191495409323,0.7795564616520428,0.43565199146160105,-0.01069194436595004,0.024083146359439266,0.00694365868541846,0.07845667492320708
NudgeType,~~,PreSelfEfficacy,,0.032468618103971315,0.03339788791085542,0.972175791194806,0.33096310197782386,-0.033609179300722596,0.09652802293421026,0.032468618103971315,0.09702493746347637
NudgeType,~~,PreTrust,,-0.08741595442268128,0.047184579446601455,-1.852638201885628,0.0639342330700734,-0.17937522864709063,0.007328282447649947,-0.08741595442268128,-0.18373690409108784
NudgeType,~~,Motivation,,-0.01934320942213245,0.04548911223038534,-0.4252272351275252,0.6706710320273856,-0.10613957955360351,0.07134767159619267,-0.01934320942213245,-0.04282323168567024
NudgeType,~~,PreBehavioralIntention,,-0.00513717894158963,0.036725670539629725,-0.13987978615792004,0.8887549725624004,-0.07835418321508363,0.06373016494868074,-0.00513717894158963,-0.014139689354029364
PreRiskTolerance,~~,PreRiskTolerance,,0.031334568333400814,0.004966231017684923,6.309526927325233,2.7988966699865614e-10,0.02201399030428977,0.04117826007698652,0.031334568333400814,1
PreRiskTolerance,~~,PreSelfEfficacy,,-0.004453259757297895,0.010891935953764597,-0.40885842298390557,0.6826435624003553,-0.026992753060061714,0.016072710068097427,-0.004453259757297895,-0.0375865396680318
PreRiskTolerance,~~,PreTrust,,0.030017429786654976,0.023164085520624742,1.295860773779659,0.1950234556170516,-0.014725568190529354,0.0774243033986493,0.030017429786654976,0.1782025624564341
PreRiskTolerance,~~,Motivation,,0.049749090206244614,0.020297646490545912,2.450978256489804,0.014246855909198608,0.01179842432826924,0.09039924644577493,0.049749090206244614,0.31107907445626154
PreRiskTolerance,~~,PreBehavioralIntention,,0.053561026093449135,0.01890793791924707,2.832726991288005,0.004615278496123976,0.01806891611778243,0.09264108422382611,0.053561026093449135,0.4163885834041569
PreSelfEfficacy,~~,PreSelfEfficacy,,0.44798930896828426,0.0768046367672981,5.832841971840811,5.44911715749663e-9,0.3102397105849769,0.609084861583291,0.44798930896828426,1
PreSelfEfficacy,~~,PreTrust,,0.10365048377285602,0.0686281465034987,1.510320313948328,0.13096171074488328,-0.03434625587270843,0.23530366788679732,0.10365048377285602,0.16273831231061353
PreSelfEfficacy,~~,Motivation,,0.039430402592105424,0.06283141904678621,0.6275586830649859,0.5302930821512057,-0.08473061271589051,0.1623685825787404,0.039430402592105424,0.06520710206151106
PreSelfEfficacy,~~,PreBehavioralIntention,,0.12096561375048645,0.044432642586297706,2.7224492334784123,0.00647999886565076,0.02769839253947444,0.20181507356093914,0.12096561375048645,0.2487080781028057
PreTrust,~~,PreTrust,,0.9055144839514714,0.14347232126650014,6.311422830257805,2.7648172640226676e-10,0.6355395728535966,1.1940129279485867,0.9055144839514714,1
PreTrust,~~,Motivation,,0.38842126783339553,0.09425793187244505,4.1208337602720615,3.7750375224687716e-5,0.2069289709635854,0.5781143607797224,0.38842126783339553,0.4518068531224003
PreTrust,~~,PreBehavioralIntention,,0.3615414676193227,0.10360995408552179,3.4894472332349356,4.840206066165642e-4,0.18189175078401726,0.5783042656617569,0.3615414676193227,0.5228440849604881
Motivation,~~,Motivation,,0.8162157547689275,0.10765224580775058,7.581966810302836,3.397282455352979e-14,0.6063261145101339,1.0234665637160416,0.8162157547689275,1
Motivation,~~,PreBehavioralIntention,,0.29582728274400616,0.08277806283659173,3.573740102229559,3.519182445137492e-4,0.14022278745919708,0.46307437033412313,0.29582728274400616,0.4506065713597825
PreBehavioralIntention,~~,PreBehavioralIntention,,0.5280516860752986,0.1033819387914899,5.107775035447162,3.2597441834703034e-7,0.34058920857366226,0.7412492455360306,0.5280516860752986,1
CodeChangesWithTool,~1,,,0.645833333333333,0.13118630741986465,4.92302394994875,8.521701855279673e-7,0.40000030455700747,0.912248804927557,0.645833333333333,0.6705556661494831
