lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
CodeChangesWithTool,~,NudgeType,h1,0.4153911564625856,0.1904536804877293,2.1810613236710266,0.029178881019191083,0.04223148286828407,0.7846143277054812,0.4153911564625856,0.21563449450079006
dRiskTolerance,~,CodeChangesWithTool,h2a,0.025759572641580887,0.013546007489248425,1.9016357891449909,0.05721878569996375,1.852182801884687e-4,0.05435166427530058,0.025759572641580887,0.15103815566576143
dRiskTolerance,~,NudgeType,h3a,-0.05965282749186456,0.029142298313953666,-2.0469499985628143,0.04066299421442876,-0.11658255057745591,-0.0038622160304073077,-0.05965282749186456,-0.18156830634347357
dRiskTolerance,~,PreRiskTolerance,c1,-0.47750413025987926,0.10255050561255162,-4.656282554704785,3.2196998953626377e-6,-0.6711018423696349,-0.26688862402427255,-0.47750413025987926,-0.5145782087231597
dSelfEfficacy,~,CodeChangesWithTool,h2b,0.05833642984399772,0.05101776370972378,1.1434532916008435,0.25285043707378185,-0.040676158713144256,0.1630813590812556,0.05833642984399772,0.10800141739394245
dSelfEfficacy,~,PreSelfEfficacy,c2,-0.2866868212687027,0.08388113151560378,-3.417774845054069,6.313531256258997e-4,-0.4531214992213515,-0.12393481423538062,-0.2866868212687027,-0.3688463944655017
dTrust,~,CodeChangesWithTool,h2c,-0.06754845498461043,0.050814994412318217,-1.3293016316505941,0.18374847618210577,-0.17230516590381248,0.030919519044974794,-0.06754845498461043,-0.12868302471810716
dTrust,~,NudgeType,h3b,0.23404869831279435,0.1021366239736819,2.2915256957494794,0.021933027460205867,0.04111368162297126,0.445285253177101,0.23404869831279435,0.2314584600718669
dTrust,~,PreTrust,c3,-0.08481736531652337,0.046625953367404764,-1.819102006304871,0.06889586904420253,-0.18720068459144165,-8.137751305530736e-4,-0.08481736531652337,-0.159644036169319
dBehavioralIntention,~,dRiskTolerance,h4a,0.4945283817356556,0.2764919486657026,1.7885814907889914,0.07368224092776066,-0.025297538666322252,1.0494464914796047,0.4945283817356556,0.19738825364208198
dBehavioralIntention,~,dSelfEfficacy,h4b,0.2900713266922831,0.08260027475743127,3.5117477217130726,4.4517036311986224e-4,0.13090478823911664,0.45296196665211885,0.2900713266922831,0.3666851282580732
dBehavioralIntention,~,dTrust,h4c,0.06989881518770011,0.07077155687231303,0.9876681858760359,0.32331518029314976,-0.08937970831127047,0.19094623048253034,0.06989881518770011,0.0858701214556362
dBehavioralIntention,~,Motivation,h5,0.0013712738960274303,0.040076656923407984,0.034216274542263433,0.9727046889316657,-0.08269253882183718,0.07738697876789355,0.0013712738960274303,0.003010365158848207
dBehavioralIntention,~,PreBehavioralIntention,c4,-0.17442551873960202,0.04850062728489909,-3.5963559340171725,3.2270617278307157e-4,-0.2697055681588066,-0.07310938097000337,-0.17442551873960202,-0.30799291315209976
CodeChangesWithTool,~~,CodeChangesWithTool,,0.8844896205905052,0.11505967573880661,7.687225041363384,1.509903313490213e-14,0.6444348979986122,1.095903648086118,0.8844896205905052,0.9535017647813887
dRiskTolerance,~~,dRiskTolerance,,0.018326917404034835,0.0026202601121521163,6.994312251306326,2.665645482125001e-12,0.012619391736487693,0.02274436570016715,0.018326917404034835,0.6792258768703057
dSelfEfficacy,~~,dSelfEfficacy,,0.2311143800789008,0.03785460180336646,6.105317955249169,1.0259624261266254e-9,0.15266965043380804,0.30003041662666924,0.2311143800789008,0.8539549198206767
dTrust,~~,dTrust,,0.23138786972794587,0.046751288824225246,4.949336703805414,7.446682548373218e-7,0.1416465749704861,0.3231819929123335,0.23138786972794587,0.9052760465561124
dBehavioralIntention,~~,dBehavioralIntention,,0.11429853972157811,0.018785338156143687,6.084454736535958,1.1688841006218809e-9,0.07111655435444908,0.1447623048131639,0.11429853972157811,0.6748785872409678
