lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
CodeChangesWithTool,~,NudgeType,h1,0.4153911564625856,0.19045373200369034,2.181060733714248,0.029178924649162052,0.04223246322698305,0.784614658739055,0.4153911564625856,0.2156346539193623
PostRiskTolerance,~,CodeChangesWithTool,h2a,0.025759569199613346,0.01354600885198145,1.9016353437452058,0.057218843969067734,1.8522517030133167e-4,0.054351598958639134,0.025759569199613346,0.14903570657588303
PostRiskTolerance,~,NudgeType,h3a,-0.05965282924255918,0.02914229890881486,-2.046950016853873,0.040662992418326604,-0.11658244606634906,-0.0038621010944166635,-0.05965282924255918,-0.17916125315421672
PostRiskTolerance,~,PreRiskTolerance,c1,0.5224958682137946,0.10255051734680241,5.095009579004199,3.487236228671975e-7,0.328897904827866,0.7331108952997523,0.5224958682137946,0.5555977568969114
PostSelfEfficacy,~,CodeChangesWithTool,h2b,0.058336423470556016,0.05101775183553223,1.143453432809373,0.2528503784756051,-0.04067618417054178,0.16308145624423662,0.058336423470556016,0.08254234159043555
PostSelfEfficacy,~,PreSelfEfficacy,c2,0.7133131454209224,0.08388116297803169,8.503853786668857,0,0.5468784540495466,0.8760650547137209,0.7133131454209224,0.7013989616101994
PostTrust,~,CodeChangesWithTool,h2c,-0.06754846954302199,0.05081497861850671,-1.329302331309473,0.1837482454448438,-0.17230551623481602,0.030919608274017785,-0.06754846954302199,-0.0660056107875754
PostTrust,~,NudgeType,h3b,0.23404869032637562,0.10213659216871085,2.291526331128909,0.02193299075622357,0.041113990939155194,0.4452850084227407,0.23404869032637562,0.11872245420979624
PostTrust,~,PreTrust,c3,0.9151825639539969,0.04662594624535827,19.62818210997928,0,0.8127989948992258,0.9991884854850628,0.9151825639539969,0.8835592625748949
PostBehavioralIntention,~,PostRiskTolerance,h4a,0.6850776773010637,0.28040038280533847,2.4432123467415634,0.014557169187855212,0.13724529805136743,1.2487648158189801,0.6850776773010637,0.16858559802707423
PostBehavioralIntention,~,PostSelfEfficacy,h4b,0.1320666219562131,0.05347326248203919,2.4697692982651316,0.013520021291302697,0.03654968366529555,0.24475881194502006,0.1320666219562131,0.13288882872302832
PostBehavioralIntention,~,PostTrust,h4c,0.11050907571609202,0.044901700738328616,2.4611334069526722,0.013849885621180613,0.028473356881023783,0.20269469427036235,0.11050907571609202,0.16101450284813532
PostBehavioralIntention,~,Motivation,h5,-0.04142424980366594,0.03996907223554085,-1.0364075893368156,0.30001203122685904,-0.12753143527555186,0.031657057403588644,-0.04142424980366594,-0.05532277838145552
PostBehavioralIntention,~,PreBehavioralIntention,c4,0.6637618108668356,0.0750953154791676,8.838924327456505,0,0.5114315375148729,0.8086828522366903,0.6637618108668356,0.7130132574306378
CodeChangesWithTool,~~,CodeChangesWithTool,,0.8844896205905051,0.11505973077917492,7.687221364075989,1.509903313490213e-14,0.644435794744068,1.09590539480981,0.8844896205905051,0.9535016960290769
PostRiskTolerance,~~,PostRiskTolerance,,0.018326885081659042,0.002620260230948382,6.994299598641686,2.665867526729926e-12,0.012619382090616048,0.022744398341524214,0.018326885081659042,0.6613340079841629
PostSelfEfficacy,~~,PostSelfEfficacy,,0.23111437573789415,0.03785460490469983,6.105317340379907,1.025966200884909e-9,0.1526697627864112,0.3000306077772033,0.23111437573789415,0.49880369271174113
PostTrust,~~,PostTrust,,0.23138786825247792,0.04675129156098809,4.949336382517419,7.446694838542101e-7,0.1416466434912992,0.3231818374559738,0.23138786825247792,0.23817709569060447
PostBehavioralIntention,~~,PostBehavioralIntention,,0.1188116497066766,0.01885945924070643,6.2998439239568675,2.9794544609274e-10,0.07524944372692523,0.14882064301841544,0.1188116497066766,0.2596286015660024
NudgeType,~~,NudgeType,,0.24997345372181087,0.003538610452206982,70.64169879617744,0,0.23828192944686347,0.24997355893297635,0.24997345372181087,1
NudgeType,~~,PreRiskTolerance,,0.006943719473078501,0.009034706974462467,0.7685605623630785,0.44215422506629753,-0.010968265862786233,0.02442304683638345,0.006943719473078501,0.07845736138949909
NudgeType,~~,PreSelfEfficacy,,0.03246875307484174,0.03376076325885794,0.961730421373776,0.3361850368472714,-0.035094504220699124,0.0964465722477665,0.03246875307484174,0.09702532896631524
NudgeType,~~,PreTrust,,-0.08741648257533763,0.047300922534026686,-1.8480925506781218,0.06458895525311958,-0.1802790112433646,0.005605412667293778,-0.08741648257533763,-0.18373764289057676
NudgeType,~~,Motivation,,-0.019343031725722108,0.04589637402962444,-0.42145010656477755,0.6734264369958523,-0.10732992207449747,0.07109722353598903,-0.019343031725722108,-0.04282279620464564
NudgeType,~~,PreBehavioralIntention,,-0.005136987894061133,0.03662288259678227,-0.14026716440153936,0.8884489068144696,-0.07843262991459796,0.06645942752668878,-0.005136987894061133,-0.014139140428619912
PreRiskTolerance,~~,PreRiskTolerance,,0.031334520043032374,0.004977636634365155,6.295059753197265,3.0728153355141785e-10,0.02194924762058125,0.04128218270683313,0.031334520043032374,1
PreRiskTolerance,~~,PreSelfEfficacy,,-0.004453235012267384,0.010832461241165806,-0.4111009412472285,0.6809985198304218,-0.027381851086778222,0.015109042218273297,-0.004453235012267384,-0.0375863843381596
PreRiskTolerance,~~,PreTrust,,0.030017329057327152,0.022293237097961667,1.3464769125014922,0.17814876123204115,-0.012762926167689679,0.07376932294602619,0.030017329057327152,0.1782018798267619
PreRiskTolerance,~~,Motivation,,0.049749057845661665,0.020427976309714605,2.4353395114328236,0.014877822798687435,0.010657177885559454,0.09019036739248634,0.049749057845661665,0.3110790472860741
PreRiskTolerance,~~,PreBehavioralIntention,,0.05356098673991633,0.01860696619638756,2.8785448511383276,0.003995144668727857,0.018682792083764273,0.0906365067906207,0.05356098673991633,0.4163882414230605
PreSelfEfficacy,~~,PreSelfEfficacy,,0.4479887234795379,0.07880526884268862,5.684755982164272,1.309995689702248e-8,0.3048351987167653,0.6124000009760896,0.4479887234795379,1
PreSelfEfficacy,~~,PreTrust,,0.10365045926216074,0.06779446661392298,1.528892613794442,0.12629106762418663,-0.03154670602243449,0.2352243744680328,0.10365045926216074,0.16273817747897543
PreSelfEfficacy,~~,Motivation,,0.039430694283319474,0.06370548669392484,0.6189528772108056,0.5359474026968991,-0.08632636567965594,0.1614822599627148,0.039430694283319474,0.0652076135239683
PreSelfEfficacy,~~,PreBehavioralIntention,,0.12096582031977701,0.04420529677218003,2.736455337992553,0.006210502467134615,0.027037287596876958,0.20106481994652767,0.12096582031977701,0.24870845216233534
PreTrust,~~,PreTrust,,0.9055167396039232,0.14221883369985427,6.367066274182581,1.9267787365606637e-10,0.6323016087848775,1.1875541721806797,0.9055167396039232,1
PreTrust,~~,Motivation,,0.3884229901831615,0.09422379786594298,4.122344874442343,3.7503515881054383e-05,0.20169224032532093,0.5698171075167103,0.3884229901831615,0.45180820009050865
PreTrust,~~,PreBehavioralIntention,,0.3615423310196992,0.1022655907520049,3.535327262680592,4.072704221163015e-4,0.17552437258690673,0.5710059113543231,0.3615423310196992,0.5228442342203065
Motivation,~~,Motivation,,0.8162160933791484,0.10845501612385586,7.5258491727761845,5.240252676230739e-14,0.6060632266409142,1.0331362096705905,0.8162160933791484,1
Motivation,~~,PreBehavioralIntention,,0.2958281406083198,0.0819218321388599,3.6111025948111424,3.048980106241661e-4,0.13759913643812302,0.45501771244572775,0.2958281406083198,0.4506073983719303
PreBehavioralIntention,~~,PreBehavioralIntention,,0.5280525912856073,0.10225719271977086,5.163965264846463,2.417725806225235e-7,0.33796601598573073,0.7322772023530428,0.5280525912856073,1
CodeChangesWithTool,~1,,,0.645833333333333,0.12876805316318946,5.015477965756459,5.290178735073425e-7,0.4000002801904857,0.9111111789476725,0.645833333333333,0.670555641974251
PostRiskTolerance,~1,,,0.24004628771831688,0.054661880493039994,4.391475111231887,1.1258422482507413e-5,0.12766136820518192,0.346312653196104,0.24004628771831688,1.4419861656802972
PostSelfEfficacy,~1,,,1.318425452373646,0.3927598765298074,3.3568231664152384,7.884352114349014e-4,0.545357063522435,2.085955614194444,1.318425452373646,1.936898792504297
PostTrust,~1,,,0.3687097701941111,0.21349055212494134,1.7270542725390987,0.08415791690711028,-0.017605422381287896,0.8386306666796568,0.3687097701941111,0.3740798806695708
PostBehavioralIntention,~1,,,0.40298556729573687,0.28735250265365236,1.4024084132702255,0.160793322449575,-0.17768777208508935,0.9525281127980078,0.40298556729573687,0.5957118598133575
NudgeType,~1,,,0.5051546391752577,0.05040630416512529,10.021655972245632,0,0.40232141519047687,0.5979385500809914,0.5051546391752577,1.010362922525033
PreRiskTolerance,~1,,,0.5195876288659798,0.017983754737731526,28.892054881945118,0,0.4852233186591193,0.5553090978523575,0.5195876288659798,2.9352647474303866
PreSelfEfficacy,~1,,,4.701030927835052,0.06818562846125398,68.94460070139826,0,4.5670103302208185,4.832408838820096,4.701030927835052,7.02359671823938
PreTrust,~1,,,4.208762886597938,0.09648480494238054,43.62099181432098,0,4.012887330648995,4.396907222190248,4.208762886597938,4.422890806689259
Motivation,~1,,,4.085910652920961,0.09157416189366739,44.61859730330235,0,3.9004303486219043,4.264605112330245,4.085910652920961,4.522580323079047
PreBehavioralIntention,~1,,,5.329896907216496,0.07357277369213529,72.44387617516514,0,5.1786943822342995,5.470790571240508,5.329896907216496,7.334663933947855
ind_risk,:=,h1*h2a*h4a,ind_risk,0.007330534779476859,0.00661929886623454,1.1074488291910156,0.2680999244634197,-5.255629163053899e-4,0.023870052920146958,0.007330534779476859,0.005417879703345557
ind_se,:=,h1*h2b*h4b,ind_se,0.003200295754215106,0.00433411523709482,0.7383965536551541,0.46027350823614555,-0.0018450977347670141,0.014971966134008176,0.003200295754215106,0.002365286835553675
ind_trust,:=,h1*h2c*h4c,ind_trust,-0.003100778231175823,0.0035694465698877568,-0.8686999988553769,0.38501124205640536,-0.012677669993121877,0.0013442881257577494,-0.003100778231175823,-0.002291735043710157
ind_total,:=,ind_risk+ind_se+ind_trust,ind_total,0.00743005230251614,0.00871440061071794,0.8526177111226485,0.393871337584625,-0.004397137948707846,0.029786463000597833,0.00743005230251614,0.005491431495189075
