interaction_id,participant_id,taskid,nudgeid,eventid,tool_used,tool_decision_time
1,3,2,1,3,false,2025-11-26T01:04:33.212648
2,3,1,1,2,true,2025-11-26T01:04:37.970332
3,3,3,1,3,false,2025-11-26T01:04:51.312131
4,4,2,1,2,true,2025-11-26T01:47:28.412771
5,4,3,1,3,false,2025-11-26T01:47:38.364153
6,4,1,1,2,true,2025-11-26T01:47:46.412836
7,8,1,2,2,true,2025-11-26T17:51:19.771033
8,8,3,2,2,true,2025-11-26T17:51:42.858147
9,8,2,2,2,true,2025-11-26T17:54:05.727953
10,9,2,2,2,true,2025-11-26T18:01:04.280671
11,9,1,2,2,true,2025-11-26T18:03:14.995782
12,9,3,2,2,true,2025-11-26T18:06:52.842102
13,10,2,2,2,true,2025-11-26T19:06:49.499551
14,11,3,2,2,true,2025-11-26T19:06:53.305862
15,10,3,2,3,false,2025-11-26T19:07:05.199044
16,11,1,2,3,false,2025-11-26T19:07:12.990875
17,10,1,2,2,true,2025-11-26T19:07:16.688851
18,13,1,1,2,true,2025-11-26T19:12:26.233282
19,12,3,2,2,true,2025-11-26T19:13:15.825828
20,12,2,2,2,true,2025-11-26T19:15:35.252419
21,13,1,1,2,true,2025-11-26T19:16:27.067603
22,13,2,1,2,true,2025-11-26T19:17:24.583298
23,12,1,2,2,true,2025-11-26T19:18:12.785945
24,13,3,1,2,true,2025-11-26T19:18:22.769513
25,14,1,1,2,true,2025-11-26T19:24:43.229740
26,14,3,1,2,true,2025-11-26T19:28:24.510680
27,14,2,1,2,true,2025-11-26T19:33:36.207361
28,15,2,1,2,true,2025-11-28T21:57:46.673877
29,16,2,1,2,true,2025-11-28T22:03:32.695910
30,15,1,1,3,false,2025-11-28T22:05:00.886575
31,16,3,1,2,true,2025-11-28T22:07:37.229148
32,15,3,1,2,true,2025-11-28T22:08:34.435557
33,16,1,1,2,true,2025-11-28T22:08:45.207925
34,17,3,1,2,true,2025-11-28T22:10:32.341482
35,17,1,1,2,true,2025-11-28T22:15:03.408265
36,17,2,1,2,true,2025-11-28T22:16:07.976741
37,18,3,1,2,true,2025-11-28T23:18:06.823685
38,18,2,1,2,true,2025-11-28T23:27:21.869375
39,18,1,1,2,true,2025-11-28T23:34:23.141068
40,19,1,2,2,true,2025-11-29T01:54:58.362791
41,19,2,2,2,true,2025-11-29T02:00:25.266381
42,19,3,2,2,true,2025-11-29T02:01:26.081734
43,20,1,2,2,true,2025-11-29T03:26:30.578204
44,20,3,2,2,true,2025-11-29T03:26:57.234526
45,20,1,2,2,true,2025-11-29T03:32:29.194059
46,20,3,2,2,true,2025-11-29T03:32:45.012108
47,20,2,2,2,true,2025-11-29T03:35:24.039097
48,22,2,2,2,true,2025-11-29T06:25:56.247007
49,22,3,2,2,true,2025-11-29T06:30:33.869741
50,22,1,2,2,true,2025-11-29T06:34:38.798881
51,23,3,2,2,true,2025-11-29T07:42:48.020963
52,23,1,2,2,true,2025-11-29T07:46:31.085701
53,23,2,2,2,true,2025-11-29T07:48:45.643283
54,24,3,2,2,true,2025-11-30T07:27:59.220384
55,24,3,2,2,true,2025-11-30T07:38:36.277679
56,24,2,2,2,true,2025-11-30T07:43:48.290851
57,24,1,2,2,true,2025-11-30T07:46:20.181185
58,25,1,1,2,true,2025-11-30T12:12:46.025206
59,25,2,1,2,true,2025-11-30T12:16:38.671271
60,25,3,1,2,true,2025-11-30T12:17:28.264197
61,27,2,1,2,true,2025-12-04T22:20:57.979710
62,27,1,1,2,true,2025-12-04T22:23:56.996088
63,27,3,1,2,true,2025-12-04T22:25:02.677605
64,28,2,1,2,true,2025-12-04T22:47:06.722392
65,28,3,1,2,true,2025-12-04T22:48:38.782067
66,28,1,1,2,true,2025-12-04T22:52:56.138268
67,29,3,1,2,true,2025-12-04T23:07:23.518183
68,29,1,1,2,true,2025-12-04T23:09:31.694763
69,29,2,1,2,true,2025-12-04T23:10:44.035924
70,30,3,1,2,true,2025-12-04T23:23:59.925222
71,30,2,1,2,true,2025-12-04T23:25:56.408032
72,30,1,1,2,true,2025-12-04T23:27:43.589423
73,31,1,2,2,true,2025-12-04T23:33:01.504497
74,31,2,2,2,true,2025-12-04T23:39:11.005650
75,31,1,2,2,true,2025-12-04T23:49:16.482111
76,31,2,2,2,true,2025-12-04T23:49:24.371403
77,31,3,2,3,false,2025-12-04T23:49:30.654072
78,32,1,2,2,true,2025-12-05T00:08:24.805897
79,32,1,2,2,true,2025-12-05T00:12:58.921326
80,32,3,2,2,true,2025-12-05T00:14:14.616411
81,32,2,2,2,true,2025-12-05T00:17:18.270869
82,34,2,2,2,true,2025-12-05T00:18:36.106808
83,33,2,2,2,true,2025-12-05T00:26:26.693849
84,34,2,2,2,true,2025-12-05T00:27:13.860731
85,34,3,2,2,true,2025-12-05T00:28:25.078007
86,33,1,2,2,true,2025-12-05T00:32:44.660381
87,34,1,2,2,true,2025-12-05T00:34:37.378281
88,33,3,2,2,true,2025-12-05T00:38:58.963074
89,35,3,2,3,false,2025-12-05T02:46:51.253696
90,36,3,2,2,true,2025-12-05T05:59:24.105771
91,36,2,2,2,true,2025-12-05T06:03:13.300532
92,39,2,1,2,true,2025-12-05T06:04:57.033039
93,36,1,2,2,true,2025-12-05T06:06:02.209334
94,38,1,1,2,true,2025-12-05T06:07:47.987058
95,39,1,1,3,false,2025-12-05T06:08:29.532423
96,39,3,1,3,false,2025-12-05T06:10:47.403276
97,38,3,1,2,true,2025-12-05T06:13:26.478491
98,38,2,1,2,true,2025-12-05T06:16:30.734433
99,41,3,1,2,true,2025-12-05T06:38:29.353122
100,42,3,1,2,true,2025-12-05T06:41:03.965018
101,42,2,1,2,true,2025-12-05T06:44:41.028381
102,41,1,1,2,true,2025-12-05T06:45:20.721869
103,41,2,1,2,true,2025-12-05T06:47:35.926513
104,42,1,1,2,true,2025-12-05T06:47:58.492224
105,43,1,2,2,true,2025-12-05T08:25:40.232979
106,43,1,2,2,true,2025-12-05T08:25:40.453714
107,44,1,2,2,true,2025-12-05T09:34:35.015829
108,44,3,2,2,true,2025-12-05T09:36:16.684707
109,44,2,2,2,true,2025-12-05T09:38:27.837273
110,45,2,2,2,true,2025-12-05T09:45:01.195870
111,45,1,2,3,false,2025-12-05T09:45:31.483904
112,45,2,2,3,false,2025-12-05T09:51:53.934149
113,45,1,2,3,false,2025-12-05T09:59:10.365406
114,45,3,2,3,false,2025-12-05T10:00:31.524326
115,46,2,2,2,true,2025-12-05T10:33:41.839347
116,46,3,2,2,true,2025-12-05T10:35:36.209927
117,46,1,2,2,true,2025-12-05T10:37:55.356750
118,47,3,2,2,true,2025-12-05T13:33:38.471231
119,47,1,2,2,true,2025-12-05T13:34:56.382873
120,47,2,2,2,true,2025-12-05T13:35:54.196090
121,48,3,2,2,true,2025-12-05T18:37:32.013020
122,48,2,2,2,true,2025-12-05T18:42:11.867968
123,48,1,2,3,false,2025-12-05T18:45:37.691797
124,49,1,1,2,true,2025-12-05T20:24:25.674940
125,49,2,1,2,true,2025-12-05T20:27:37.414673
126,49,3,1,2,true,2025-12-05T20:32:22.490359
127,50,1,1,2,true,2025-12-05T21:15:55.646248
128,50,3,1,2,true,2025-12-05T21:18:23.106549
129,50,2,1,2,true,2025-12-05T21:21:07.136265
130,51,2,1,2,true,2025-12-05T22:51:50.194759
131,51,1,1,2,true,2025-12-05T23:00:54.562170
132,51,3,1,2,true,2025-12-05T23:03:13.284023
133,52,2,1,2,true,2025-12-06T00:16:36.212670
134,52,3,1,2,true,2025-12-06T00:29:14.396342
135,52,1,1,2,true,2025-12-06T00:32:12.997179
136,53,3,1,2,true,2025-12-06T06:05:59.744337
137,53,1,1,2,true,2025-12-06T06:12:39.770782
138,53,2,1,2,true,2025-12-06T06:15:56.732696
139,54,3,1,2,true,2025-12-06T06:34:46.707654
140,54,2,1,3,false,2025-12-06T06:35:01.034322
141,54,1,1,3,false,2025-12-06T06:35:10.514373
142,55,1,2,2,true,2025-12-06T15:57:32.444074
143,55,2,2,2,true,2025-12-06T16:04:17.450176
144,55,3,2,2,true,2025-12-06T16:08:08.954447
145,56,1,2,2,true,2025-12-06T18:14:52.062447
146,56,3,2,2,true,2025-12-06T18:19:18.239334
147,56,2,2,2,true,2025-12-06T18:23:38.578241
148,57,2,2,2,true,2025-12-06T19:01:45.238901
149,57,1,2,2,true,2025-12-06T19:08:10.609419
150,57,3,2,2,true,2025-12-06T19:13:33.394431
151,58,2,2,2,true,2025-12-06T22:00:06.496635
152,58,3,2,2,true,2025-12-06T22:09:58.392562
153,58,1,2,2,true,2025-12-06T22:15:53.739841
154,59,3,2,2,true,2025-12-07T00:45:36.022518
155,60,3,2,2,true,2025-12-07T00:47:39.352878
156,60,2,2,2,true,2025-12-07T00:49:42.491762
157,59,1,2,2,true,2025-12-07T00:50:23.418847
158,60,1,2,2,true,2025-12-07T00:51:17.945399
159,59,2,2,2,true,2025-12-07T00:54:02.301280
160,61,1,1,2,true,2025-12-07T05:36:53.066062
161,61,2,1,2,true,2025-12-07T05:42:41.399235
162,61,3,1,2,true,2025-12-07T05:47:53.201169
163,61,1,1,2,true,2025-12-07T05:50:42.632220
164,61,2,1,2,true,2025-12-07T05:51:53.234872
165,61,3,1,2,true,2025-12-07T05:52:25.195791
166,61,1,1,2,true,2025-12-07T05:54:30.172138
167,61,2,1,2,true,2025-12-07T05:55:10.626582
168,61,3,1,3,false,2025-12-07T05:55:51.353489
169,62,1,1,2,true,2025-12-07T10:12:20.894313
170,62,3,1,2,true,2025-12-07T10:14:16.109875
171,62,2,1,2,true,2025-12-07T10:16:18.125662
172,64,2,1,2,true,2025-12-07T11:13:02.317274
