participant_id,nudge,task_id,type_id,type_name,change_kind
19,B,3,B603,subprocess_without_shell_equals_true,new
19,B,3,B404,blacklist,fixed
19,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
20,B,1,B701,jinja2_autoescape_false,new
20,B,2,B311,blacklist,fixed
20,B,3,B404,blacklist,fixed
20,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
23,B,2,B311,blacklist,fixed
24,B,3,B603,subprocess_without_shell_equals_true,new
24,B,3,B404,blacklist,common
24,B,3,B602,subprocess_popen_with_shell_equals_true,common
27,A,2,B311,blacklist,fixed
28,A,2,B311,blacklist,fixed
28,A,3,B603,subprocess_without_shell_equals_true,new
28,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
28,A,3,B404,blacklist,common
31,B,2,B311,blacklist,common
33,B,2,B311,blacklist,common
34,B,2,B311,blacklist,common
36,B,2,B311,blacklist,fixed
36,B,3,B404,blacklist,fixed
36,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
39,A,2,B311,blacklist,fixed
41,A,2,B311,blacklist,fixed
41,A,3,B603,subprocess_without_shell_equals_true,new
41,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
41,A,3,B404,blacklist,common
42,A,3,B603,subprocess_without_shell_equals_true,new
42,A,3,B404,blacklist,common
42,A,3,B602,subprocess_popen_with_shell_equals_true,common
47,B,2,B311,blacklist,fixed
50,A,3,B603,subprocess_without_shell_equals_true,new
50,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
50,A,3,B404,blacklist,common
51,A,2,B311,blacklist,fixed
51,A,3,B603,subprocess_without_shell_equals_true,new
51,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
51,A,3,B404,blacklist,common
52,A,2,B311,blacklist,fixed
53,A,1,B701,jinja2_autoescape_false,new
53,A,2,B311,blacklist,fixed
53,A,3,B603,subprocess_without_shell_equals_true,new
53,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
53,A,3,B404,blacklist,common
55,B,3,B404,blacklist,fixed
55,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
56,B,2,B311,blacklist,fixed
56,B,3,B603,subprocess_without_shell_equals_true,new
56,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
56,B,3,B404,blacklist,common
57,B,2,B311,blacklist,fixed
57,B,3,B603,subprocess_without_shell_equals_true,new
57,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
57,B,3,B404,blacklist,common
58,B,3,B603,subprocess_without_shell_equals_true,new
58,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
58,B,3,B404,blacklist,common
62,A,2,B311,blacklist,fixed
62,A,3,B603,subprocess_without_shell_equals_true,new
62,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
62,A,3,B404,blacklist,common
64,A,2,B311,blacklist,fixed
64,A,3,B603,subprocess_without_shell_equals_true,new
64,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
64,A,3,B404,blacklist,common
68,B,2,B311,blacklist,fixed
68,B,3,B603,subprocess_without_shell_equals_true,new
68,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
68,B,3,B404,blacklist,common
69,B,2,B311,blacklist,fixed
69,B,3,B603,subprocess_without_shell_equals_true,new
69,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
69,B,3,B404,blacklist,common
70,B,2,B311,blacklist,fixed
70,B,3,B603,subprocess_without_shell_equals_true,new
70,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
70,B,3,B404,blacklist,common
78,A,2,B311,blacklist,fixed
81,B,2,B311,blacklist,common
83,B,3,B603,subprocess_without_shell_equals_true,new
83,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
83,B,3,B404,blacklist,common
84,B,2,B311,blacklist,fixed
84,B,3,B603,subprocess_without_shell_equals_true,new
84,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
84,B,3,B404,blacklist,common
85,A,2,B311,blacklist,common
94,B,2,B311,blacklist,fixed
101,A,3,B603,subprocess_without_shell_equals_true,new
101,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
101,A,3,B404,blacklist,common
103,B,3,B105,hardcoded_password_string,new
103,B,3,B603,subprocess_without_shell_equals_true,new
103,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
103,B,3,B404,blacklist,common
104,B,3,B603,subprocess_without_shell_equals_true,new
104,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
104,B,3,B404,blacklist,common
107,B,3,B603,subprocess_without_shell_equals_true,new
107,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
107,B,3,B404,blacklist,common
108,B,2,B311,blacklist,fixed
108,B,3,B603,subprocess_without_shell_equals_true,new
108,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
108,B,3,B404,blacklist,common
109,A,2,B311,blacklist,fixed
110,A,3,B603,subprocess_without_shell_equals_true,new
110,A,3,B607,start_process_with_partial_path,new
110,A,3,B404,blacklist,common
110,A,3,B602,subprocess_popen_with_shell_equals_true,common
111,A,2,B311,blacklist,common
112,A,2,B311,blacklist,fixed
115,B,2,B311,blacklist,common
118,B,2,B311,blacklist,common
120,B,2,B311,blacklist,fixed
120,B,3,B603,subprocess_without_shell_equals_true,new
120,B,3,B607,start_process_with_partial_path,new
120,B,3,B602,subprocess_popen_with_shell_equals_true,fixed
120,B,3,B404,blacklist,common
121,A,3,B603,subprocess_without_shell_equals_true,new
121,A,3,B602,subprocess_popen_with_shell_equals_true,fixed
121,A,3,B404,blacklist,common
