participant_id,nudge,tasks_analyzed,changed_task_count,unchanged_task_count,has_any_change
8,B,3,1,2,True
9,B,3,0,3,False
10,B,2,0,2,False
12,B,3,0,3,False
13,A,3,0,3,False
14,A,3,0,3,False
15,A,2,0,2,False
16,A,3,0,3,False
17,A,3,0,3,False
18,A,3,0,3,False
19,B,3,2,1,True
20,B,3,3,0,True
22,B,3,0,3,False
23,B,3,1,2,True
24,B,3,1,2,True
25,A,3,0,3,False
27,A,3,1,2,True
28,A,3,2,1,True
29,A,3,0,3,False
30,A,3,0,3,False
31,B,2,2,0,True
32,B,3,1,2,True
33,B,3,2,1,True
34,B,3,1,2,True
36,B,3,2,1,True
38,A,3,0,3,False
39,A,1,1,0,True
41,A,3,3,0,True
42,A,3,1,2,True
44,B,3,0,3,False
45,B,1,0,1,False
46,B,3,0,3,False
47,B,3,1,2,True
48,B,2,0,2,False
49,A,3,0,3,False
50,A,3,1,2,True
51,A,3,2,1,True
52,A,3,1,2,True
53,A,3,3,0,True
54,A,1,0,1,False
55,B,3,2,1,True
56,B,3,3,0,True
57,B,3,2,1,True
58,B,3,2,1,True
59,B,3,1,2,True
60,B,3,0,3,False
62,A,3,3,0,True
63,A,3,0,3,False
64,A,3,2,1,True
65,A,3,0,3,False
66,A,1,0,1,False
67,B,0,0,0,False
68,B,3,2,1,True
69,B,3,2,1,True
70,B,3,3,0,True
71,B,3,0,3,False
72,B,3,0,3,False
73,A,3,0,3,False
75,A,0,0,0,False
76,A,0,0,0,False
77,A,3,0,3,False
78,A,3,1,2,True
80,B,3,0,3,False
81,B,3,2,1,True
82,B,3,0,3,False
83,B,3,1,2,True
84,B,3,2,1,True
85,A,1,1,0,True
86,A,3,0,3,False
87,A,3,1,2,True
88,A,3,0,3,False
89,A,3,0,3,False
90,A,2,0,2,False
91,B,3,0,3,False
93,B,3,0,3,False
94,B,3,1,2,True
96,B,3,1,2,True
98,A,2,0,2,False
100,A,1,0,1,False
101,A,3,1,2,True
103,B,3,2,1,True
104,B,3,1,2,True
107,B,3,1,2,True
108,B,3,3,0,True
109,A,3,2,1,True
110,A,3,1,2,True
111,A,2,1,1,True
112,A,1,1,0,True
114,A,3,0,3,False
115,B,3,1,2,True
117,B,3,0,3,False
118,B,3,1,2,True
119,B,3,0,3,False
120,B,3,2,1,True
121,A,3,2,1,True
122,A,3,0,3,False
123,A,3,0,3,False
