participant_id,nudge,tasks_analyzed,changed_task_count,unchanged_task_count,has_any_change
8,B,0,0,0,False
9,B,0,0,0,False
10,B,1,0,1,False
12,B,0,0,0,False
13,A,0,0,0,False
14,A,0,0,0,False
15,A,1,0,1,False
16,A,0,0,0,False
17,A,0,0,0,False
18,A,0,0,0,False
19,B,0,0,0,False
20,B,0,0,0,False
22,B,0,0,0,False
23,B,0,0,0,False
24,B,0,0,0,False
25,A,0,0,0,False
27,A,0,0,0,False
28,A,0,0,0,False
29,A,0,0,0,False
30,A,0,0,0,False
31,B,1,0,1,False
32,B,0,0,0,False
33,B,0,0,0,False
34,B,0,0,0,False
36,B,0,0,0,False
38,A,0,0,0,False
39,A,2,0,2,False
41,A,0,0,0,False
42,A,0,0,0,False
44,B,0,0,0,False
45,B,3,2,1,True
46,B,0,0,0,False
47,B,0,0,0,False
48,B,1,0,1,False
49,A,0,0,0,False
50,A,0,0,0,False
51,A,0,0,0,False
52,A,0,0,0,False
53,A,0,0,0,False
54,A,2,0,2,False
55,B,0,0,0,False
56,B,0,0,0,False
57,B,0,0,0,False
58,B,0,0,0,False
59,B,0,0,0,False
60,B,0,0,0,False
62,A,0,0,0,False
63,A,0,0,0,False
64,A,0,0,0,False
65,A,0,0,0,False
66,A,3,2,1,True
67,B,3,1,2,True
68,B,0,0,0,False
69,B,0,0,0,False
70,B,0,0,0,False
71,B,0,0,0,False
72,B,0,0,0,False
73,A,0,0,0,False
75,A,3,0,3,False
76,A,3,0,3,False
77,A,0,0,0,False
78,A,0,0,0,False
80,B,0,0,0,False
81,B,0,0,0,False
82,B,0,0,0,False
83,B,0,0,0,False
84,B,0,0,0,False
85,A,2,0,2,False
86,A,0,0,0,False
87,A,0,0,0,False
88,A,0,0,0,False
89,A,0,0,0,False
90,A,1,0,1,False
91,B,0,0,0,False
93,B,0,0,0,False
94,B,0,0,0,False
96,B,0,0,0,False
98,A,1,0,1,False
100,A,2,0,2,False
101,A,0,0,0,False
103,B,0,0,0,False
104,B,0,0,0,False
107,B,0,0,0,False
108,B,0,0,0,False
109,A,0,0,0,False
110,A,0,0,0,False
111,A,1,0,1,False
112,A,2,0,2,False
114,A,0,0,0,False
115,B,0,0,0,False
117,B,0,0,0,False
118,B,0,0,0,False
119,B,0,0,0,False
120,B,0,0,0,False
121,A,0,0,0,False
122,A,0,0,0,False
123,A,0,0,0,False
