participant_id,nudge,taskid,changed,start_lines,end_lines,line_delta,start_timestamp,end_timestamp
10,B,3,False,31,31,0,2025-11-26T19:07:03.359595,
15,A,1,False,32,32,0,2025-11-28T22:04:58.390913,
31,B,3,False,31,31,0,2025-12-04T23:49:28.514688,
39,A,1,False,31,31,0,2025-12-05T06:08:25.834359,
39,A,3,False,33,33,0,2025-12-05T06:10:45.041955,
45,B,2,True,31,31,0,2025-12-05T09:44:53.551028,
45,B,1,True,30,33,3,2025-12-05T09:45:28.022978,
45,B,3,False,32,32,0,2025-12-05T10:00:29.183897,
48,B,1,False,34,34,0,2025-12-05T18:45:35.731820,
54,A,2,False,29,29,0,2025-12-06T06:34:53.840929,
54,A,1,False,30,30,0,2025-12-06T06:35:07.314016,
66,A,3,False,53,53,0,2025-12-07T18:17:08.888997,
66,A,2,True,37,39,2,2025-12-07T18:20:11.062153,
66,A,1,True,49,36,-13,2025-12-07T18:22:20.041069,
67,B,1,False,40,40,0,2025-12-07T19:42:46.917935,
67,B,2,False,35,35,0,2025-12-07T19:44:48.530757,
67,B,3,True,40,47,7,2025-12-07T19:46:37.364589,
75,A,2,False,38,38,0,2025-12-09T07:52:39.549265,
75,A,1,False,40,40,0,2025-12-09T07:56:12.299796,
75,A,3,False,43,43,0,2025-12-09T07:57:42.426196,
76,A,2,False,29,29,0,2025-12-09T07:53:39.595793,
76,A,3,False,31,31,0,2025-12-09T07:54:36.663197,
76,A,1,False,30,30,0,2025-12-09T07:54:42.013058,
85,A,1,False,30,30,0,2025-12-11T19:09:15.732091,
85,A,3,False,31,31,0,2025-12-11T19:16:57.964907,
90,A,1,False,31,31,0,2025-12-13T13:07:53.237377,
98,A,3,False,31,31,0,2025-12-16T12:46:08.960323,
100,A,2,False,36,36,0,2025-12-16T23:33:00.757121,
100,A,3,False,31,31,0,2025-12-16T23:33:16.501838,
111,A,3,False,31,31,0,2026-01-11T09:37:39.838219,
112,A,3,False,68,68,0,2026-01-11T12:34:23.991430,
112,A,1,False,35,35,0,2026-01-11T12:44:12.995245,
