Prolific IDs with data in both code_snapshots.csv and tool_usage.csv:
583fe092d639d0000142fb2e | participant_id=8 | code_snapshots=9 | tool_usage=3
68d81c3c92ab53a2166931ac | participant_id=9 | code_snapshots=9 | tool_usage=3
65fb1a12337cd3edfa4dd6fc | participant_id=12 | code_snapshots=9 | tool_usage=3
5cfb53d4c04a940015aab805 | participant_id=10 | code_snapshots=8 | tool_usage=3
661ff0336322c3c05a16a8af | participant_id=13 | code_snapshots=12 | tool_usage=4
60c770d5d536d798d92c6ee9 | participant_id=14 | code_snapshots=9 | tool_usage=3
5c093a3f600aff0001d7002c | participant_id=15 | code_snapshots=8 | tool_usage=3
5dd671942b033b5ec8bc97b4 | participant_id=16 | code_snapshots=9 | tool_usage=3
665b1c771d3f242a05ffd1b3 | participant_id=17 | code_snapshots=9 | tool_usage=3
671d5cda4bb11257ce4bcda0 | participant_id=18 | code_snapshots=9 | tool_usage=3
678b955998db06a51ad68305 | participant_id=19 | code_snapshots=9 | tool_usage=3
665017cd16c82792f5b364ef | participant_id=20 | code_snapshots=14 | tool_usage=5
6914c90c80bcbb0ee3307396 | participant_id=22 | code_snapshots=9 | tool_usage=3
637f7d52d1a517e820233f7a | participant_id=23 | code_snapshots=9 | tool_usage=3
67896102d98295a520a25ebb | participant_id=24 | code_snapshots=14 | tool_usage=4
6718c55c0df4407cbaf8e00b | participant_id=25 | code_snapshots=9 | tool_usage=3
601941db6605160008690742 | participant_id=27 | code_snapshots=9 | tool_usage=3
605415efff124848ed5fd8e3 | participant_id=28 | code_snapshots=9 | tool_usage=3
68d6735a42a45ae88db9691a | participant_id=29 | code_snapshots=9 | tool_usage=3
68c84dcc3bc98e934dd2fffa | participant_id=30 | code_snapshots=9 | tool_usage=3
602d86345f6c24812bfc3a4e | participant_id=31 | code_snapshots=14 | tool_usage=5
611a702fa7003f9ed350ebb4 | participant_id=33 | code_snapshots=10 | tool_usage=3
692b2dc2fabccc75b20df0a8 | participant_id=32 | code_snapshots=12 | tool_usage=4
605b787e15c5cdab9f698cb4 | participant_id=34 | code_snapshots=12 | tool_usage=4
69289ee670aad30bf97ccddf | participant_id=36 | code_snapshots=9 | tool_usage=3
68d56ac9a18490172556aaba | participant_id=39 | code_snapshots=7 | tool_usage=3
5bacc09b709f60000104352f | participant_id=38 | code_snapshots=9 | tool_usage=3
664b876ebe0680d014a1c471 | participant_id=41 | code_snapshots=9 | tool_usage=3
6916bcd9fde520e1f46976cb | participant_id=42 | code_snapshots=9 | tool_usage=3
656afc419322351c400138f7 | participant_id=44 | code_snapshots=9 | tool_usage=3
609ea1092e52cba6578846a2 | participant_id=45 | code_snapshots=11 | tool_usage=5
60b7b8126c0c4524e913236e | participant_id=46 | code_snapshots=9 | tool_usage=3
60f5d1dfd8ff71196982160b | participant_id=47 | code_snapshots=9 | tool_usage=3
5d08f2345cb5cf0017ccbb95 | participant_id=48 | code_snapshots=8 | tool_usage=3
5eb5fe677dd9764f6a7b0692 | participant_id=49 | code_snapshots=9 | tool_usage=3
654fc4ada27c650347fd0446 | participant_id=50 | code_snapshots=9 | tool_usage=3
66c4cefb3e98086ecca28a29 | participant_id=51 | code_snapshots=9 | tool_usage=3
65df54ece89515308c1cae4b | participant_id=52 | code_snapshots=9 | tool_usage=3
65707f7057bfe1f9f1e9ef2c | participant_id=53 | code_snapshots=9 | tool_usage=3
66604a3a17f83e06a5d82378 | participant_id=54 | code_snapshots=7 | tool_usage=3
66049c36acdc2fde734b0983 | participant_id=55 | code_snapshots=9 | tool_usage=3
5be30d2451ed78000195c6b6 | participant_id=56 | code_snapshots=9 | tool_usage=3
66bf10e19271dfdd1f7723dc | participant_id=57 | code_snapshots=9 | tool_usage=3
5e8244d17412d49657c3e6d8 | participant_id=58 | code_snapshots=9 | tool_usage=3
6005e777d1d8768d5808b5fd | participant_id=59 | code_snapshots=9 | tool_usage=3
66854dacc87d341b452931d9 | participant_id=60 | code_snapshots=9 | tool_usage=3
652a97574fa0e1dd16211b91 | participant_id=62 | code_snapshots=9 | tool_usage=3
68e54271b188d748c1a258bb | participant_id=63 | code_snapshots=9 | tool_usage=3
5d14bd7a49a18f0001e1e8b4 | participant_id=64 | code_snapshots=9 | tool_usage=3
611842195ebcbb197bc11c0e | participant_id=65 | code_snapshots=9 | tool_usage=3
5cb7852e044ae900011ff74e | participant_id=66 | code_snapshots=13 | tool_usage=6
6525aebf13661dcdfda045f8 | participant_id=67 | code_snapshots=12 | tool_usage=6
5dfb75507caa1e89ad5df828 | participant_id=68 | code_snapshots=9 | tool_usage=3
5e69475fe2fe7b1ef2d2bb92 | participant_id=69 | code_snapshots=9 | tool_usage=3
68c835d056de62062e18aba2 | participant_id=70 | code_snapshots=9 | tool_usage=3
5f73375bf67991000855a6d7 | participant_id=71 | code_snapshots=9 | tool_usage=3
6127f94d2af664941ae3bf4f | participant_id=72 | code_snapshots=9 | tool_usage=3
611e912ecd86ccea242bb5aa | participant_id=73 | code_snapshots=9 | tool_usage=3
65f3ffb89b13487e9bba801f | participant_id=75 | code_snapshots=6 | tool_usage=3
6672d9dfb3878b6f6c5fa763 | participant_id=76 | code_snapshots=6 | tool_usage=3
67bae34ff802e124adfe7189 | participant_id=77 | code_snapshots=9 | tool_usage=3
605cb6593cc166d022a9d17c | participant_id=78 | code_snapshots=9 | tool_usage=3
67194d1ba278571e0e4b6f87 | participant_id=80 | code_snapshots=9 | tool_usage=3
6623c5f5e925484c99ce611a | participant_id=81 | code_snapshots=9 | tool_usage=3
67f16925364c696866c13aa3 | participant_id=82 | code_snapshots=9 | tool_usage=3
66be0672a499baee058dc3f6 | participant_id=83 | code_snapshots=9 | tool_usage=3
64df6f97391ce879a62edf28 | participant_id=84 | code_snapshots=9 | tool_usage=3
6916458f262a97b6c99ce704 | participant_id=85 | code_snapshots=7 | tool_usage=3
67d1c2ab7be66a6085721f6c | participant_id=86 | code_snapshots=9 | tool_usage=3
6717a701fec39ffe22799038 | participant_id=87 | code_snapshots=9 | tool_usage=3
5f1c2f87a73eec487b58ad9a | participant_id=88 | code_snapshots=9 | tool_usage=3
65f45a87d68ec9b74898401d | participant_id=89 | code_snapshots=9 | tool_usage=3
67e7cdfb2d3c81d83ccef700 | participant_id=90 | code_snapshots=11 | tool_usage=4
5f61371454efa10bdcfc588d | participant_id=91 | code_snapshots=9 | tool_usage=3
6658e797b169774877e72acb | participant_id=93 | code_snapshots=9 | tool_usage=3
60baef9aa0cb140b69d72f5a | participant_id=94 | code_snapshots=9 | tool_usage=3
566ae5587da0350012b50b13 | participant_id=96 | code_snapshots=9 | tool_usage=3
647d94be8426dcb4838d8f73 | participant_id=98 | code_snapshots=8 | tool_usage=3
6869318f8be1d4ab8cabb66f | participant_id=100 | code_snapshots=7 | tool_usage=3
65a7f794e124362a1ae7b3d9 | participant_id=101 | code_snapshots=9 | tool_usage=3
654e3926a9f47dd3e0bd5471 | participant_id=103 | code_snapshots=9 | tool_usage=3
610af0eb860dfb6aeb567a49 | participant_id=104 | code_snapshots=9 | tool_usage=3
6521569441baced19add37ca | participant_id=107 | code_snapshots=9 | tool_usage=3
6563514258fc1a6958660b37 | participant_id=108 | code_snapshots=9 | tool_usage=3
665f58b57749126beb1be1e6 | participant_id=109 | code_snapshots=14 | tool_usage=5
562a52d2c8ffc2000f5139dd | participant_id=110 | code_snapshots=9 | tool_usage=3
692ed5436fca8c59b41c2eea | participant_id=111 | code_snapshots=8 | tool_usage=3
64db89316721f33ed942da45 | participant_id=112 | code_snapshots=7 | tool_usage=3
658054690a72503441d25c4f | participant_id=114 | code_snapshots=9 | tool_usage=3
66463e4efb99fba5a67a010a | participant_id=115 | code_snapshots=9 | tool_usage=3
5d0845f9e4b46500019376af | participant_id=117 | code_snapshots=9 | tool_usage=3
5e6f570ab3d22551924c818a | participant_id=118 | code_snapshots=9 | tool_usage=3
65b16b33c01181795aafb797 | participant_id=119 | code_snapshots=9 | tool_usage=3
5bec01bfe9b3490001e63ff4 | participant_id=120 | code_snapshots=9 | tool_usage=3
5ec84e710b73c13203ba9f3f | participant_id=121 | code_snapshots=9 | tool_usage=3
5f216c1707456f055831aa5d | participant_id=122 | code_snapshots=9 | tool_usage=3
56cb8858edf8da000b6df354 | participant_id=123 | code_snapshots=9 | tool_usage=3

Total matched prolific IDs: 97

Potential duplicate survey submissions (prolific_pid appearing more than once):
None found.
