label,n,mean_pre,sd_pre,mean_post,sd_post,mean_diff,sd_diff,shapiro_W,shapiro_p,normality_ok,t_stat,p_value,cohens_d,significant_0.05,wilcoxon_stat,wilcoxon_p
Trust — Overall,92,4.217391304347826,0.9465215317326092,4.296195652173913,0.9951319338133887,0.07880434782608696,0.5121187241970325,0.9041491765845864,5.056535173354667e-06,False,-1.4759560922948887,0.14340765086668783,0.15387905987941924,False,662.0,0.12848934705374385
Trust — Nudge A,44,4.375,0.933080669011914,4.346590909090909,0.9480946454123761,-0.028409090909090908,0.47377721769673203,0.9205140689219891,0.004952715411940542,False,0.3977493710593043,0.6927827426285991,-0.05996297383652533,False,192.0,0.7995019007956595
Trust — Nudge B,48,4.072916666666667,0.9452545718872556,4.25,1.0442344238315904,0.17708333333333334,0.5308522186203843,0.8537701894259919,2.7420747662901566e-05,False,-2.3111315710734486,0.02526003172100105,0.3335831086729746,True,120.5,0.019451727615822884
Self-Efficacy — Overall,92,4.6875,0.6789870040349459,4.711956521739131,0.699229150337909,0.024456521739130436,0.5307311236034638,0.9415441229608271,0.00044570341254671173,False,-0.4419916326397222,0.6595438835192973,0.046080813149000754,False,880.5,0.4946918239358108
Self-Efficacy — Nudge A,44,4.6022727272727275,0.7706803507030855,4.636363636363637,0.7950693721644113,0.03409090909090909,0.5188059554884824,0.9145381671717732,0.0031424136559501043,False,-0.43587300037912335,0.6651093230745245,0.06571032720472676,False,198.5,0.4755725702149751
Self-Efficacy — Nudge B,48,4.765625,0.5798162080404298,4.78125,0.5983687932754828,0.015625,0.546765756566001,0.9525049580001462,0.050347592130035805,True,-0.19798821373332917,0.8439081500278268,0.028577137123827687,False,249.5,0.7841881011036845
Behavioral Intention — Overall,92,5.3188405797101455,0.7443938515974721,5.202898550724639,0.7278793553160527,-0.11594202898550726,0.4147311311347944,0.7760590837116059,1.6015828358436714e-10,False,2.681440556266374,0.008704272853219779,-0.2795595032093798,True,130.5,0.012101439497014331
Behavioral Intention — Nudge A,44,5.3106060606060606,0.7094698216034508,5.174242424242423,0.6913591316440983,-0.1363636363636364,0.46209377337410706,0.8003986042511706,2.9789990826714037e-06,False,1.9574685612588605,0.056803172909010165,-0.2950994889369297,False,35.5,0.05092582126247329
Behavioral Intention — Nudge B,48,5.326388888888888,0.7824601541478001,5.229166666666667,0.7661769944087523,-0.09722222222222221,0.3700254501076167,0.7344278143193101,5.681281077880418e-08,False,1.820348610774376,0.07507670851819509,-0.2627446901123868,False,30.5,0.09218228766204618
Risk Avoidance (normalized 0-1) — Overall,92,0.47318840579710136,0.17598417694681512,0.4954710144927537,0.1700050861278509,0.022282608695652174,0.1664334847524499,0.9521462209621803,0.001983222992315567,False,-1.2841603041983747,0.20234568979242099,0.1338829666926395,False,1729.0,0.19971729117586856
Risk Avoidance (normalized 0-1) — Nudge A,44,0.48787878787878786,0.13922838469749385,0.4772727272727272,0.15288318272234547,-0.0106060606060606,0.15803586536851882,0.9517094593923899,0.06370915120531093,True,0.4451688665993108,0.6584307814751547,-0.06711173176625865,False,441.5,0.7034404969697348
Risk Avoidance (normalized 0-1) — Nudge B,48,0.4597222222222222,0.2045531754240059,0.5121527777777778,0.1843376611695318,0.05243055555555554,0.16982780819572577,0.9217454096406651,0.0034271684828693734,False,-2.1389285313421467,0.0376673086769073,0.30872774083693977,True,365.0,0.03512396635240501
