lval,op,rval,Estimate,Std. Err,z-value,p-value
tool_uses,~,trust_pre,-0.10232189542826947,0.12621279152353462,-0.8107093915942666,0.4175325787327333
tool_uses,~,self_efficacy_pre,0.05480540811500579,0.10641430914222455,0.5150191600759481,0.606539631185355
tool_uses,~,risk_avoidance_pre,-0.00864899392611246,0.1174324892638156,-0.07365077569469371,0.9412882676538894
tool_uses,~,motivation_pre,-0.12060195835606259,0.12112233847229487,-0.9957036817172498,0.319394140724959
tool_uses,~,intention_pre,-0.009952258481862295,0.137530240200111,-0.0723641467309958,0.9423121167263764
code_changed_count,~,trust_pre,0.06909589213230595,0.12560760478978306,0.550093222837859,0.5822554348171689
code_changed_count,~,self_efficacy_pre,0.2003236493765544,0.10590405556652255,1.8915578662502832,0.05854991416666544
code_changed_count,~,risk_avoidance_pre,-0.09399948674890743,0.11686940382884496,-0.80431219522404,0.4212166963359416
code_changed_count,~,motivation_pre,0.051737881014348217,0.12054156031566296,0.42921197368304076,0.6677689700405751
code_changed_count,~,intention_pre,-0.12805851906812957,0.1368707866229095,-0.9356161546729903,0.34947085395181254
vuln_diff_total,~,trust_pre,0.09616658544009182,0.12509565144017318,0.7687444314186621,0.4420450427440401
vuln_diff_total,~,self_efficacy_pre,-0.05780618230035436,0.10547241023680477,-0.5480692265401054,0.5836443699398162
vuln_diff_total,~,risk_avoidance_pre,-0.1375471625781544,0.11639306576908165,-1.1817470539856707,0.2373060817848094
vuln_diff_total,~,motivation_pre,-0.001009015139020134,0.12005025522570381,-0.008404939557310412,0.9932939074492597
vuln_diff_total,~,intention_pre,-0.2657993422537147,0.13631292662874275,-1.9499202960823137,0.05118561964464652
trust_pre,~~,self_efficacy_pre,0.14665847693468004,0.09846507224776703,1.489446700086248,0.13636977885362134
trust_pre,~~,risk_avoidance_pre,-0.13564158895451053,0.095719396418719,-1.4170752640325595,0.15646092371660836
trust_pre,~~,motivation_pre,0.44118805091925456,0.0745299265709165,5.919609359785655,3.227071943001647e-09
trust_pre,~~,intention_pre,0.5168477042819812,0.06576973977961402,7.8584422867722035,3.9968028886505635e-15
self_efficacy_pre,~~,risk_avoidance_pre,0.04865999963034333,0.10081030605932143,0.4826887401891911,0.6293167593319986
self_efficacy_pre,~~,motivation_pre,0.05358851301818711,0.10096051104536916,0.530786863723134,0.5955664840820889
self_efficacy_pre,~~,intention_pre,0.23655484232890173,0.09356413851381697,2.528263991779719,0.011462812474021478
risk_avoidance_pre,~~,motivation_pre,-0.3284119175285239,0.08580573903298443,-3.8273887181188693,0.00012950990393845174
risk_avoidance_pre,~~,intention_pre,-0.4212511439052216,0.07669525373079393,-5.492532111287512,3.962114814015649e-08
motivation_pre,~~,intention_pre,0.4359491134750466,0.07489590562205059,5.820733588150581,5.85898951577235e-09
code_changed_count,~~,code_changed_count,0.9429462560082608,0.1382803480637979,6.8190908484436115,9.161782443811717e-12
tool_uses,~~,tool_uses,0.9520545150715364,0.13961604797829427,6.819090848444088,9.161782443811717e-12
vuln_diff_total,~~,vuln_diff_total,0.9352753716463517,0.1371554350024615,6.819090848443209,9.161782443811717e-12
