Participant_ID,nudge,Total_Uses,Total_Skips,Completion_Rate
8,B,3,0,100.00%
9,B,3,0,100.00%
10,B,2,1,66.67%
12,B,3,0,100.00%
13,A,3,0,100.00%
14,A,3,0,100.00%
15,A,2,1,66.67%
16,A,3,0,100.00%
17,A,3,0,100.00%
18,A,3,0,100.00%
19,B,3,0,100.00%
20,B,3,0,100.00%
22,B,3,0,100.00%
23,B,3,0,100.00%
24,B,3,0,100.00%
25,A,3,0,100.00%
27,A,3,0,100.00%
28,A,3,0,100.00%
29,A,3,0,100.00%
30,A,3,0,100.00%
31,B,2,1,66.67%
32,B,3,0,100.00%
33,B,3,0,100.00%
34,B,3,0,100.00%
36,B,3,0,100.00%
38,A,3,0,100.00%
39,A,1,2,33.33%
41,A,3,0,100.00%
42,A,3,0,100.00%
44,B,3,0,100.00%
45,B,0,3,0.00%
46,B,3,0,100.00%
47,B,3,0,100.00%
48,B,2,1,66.67%
49,A,3,0,100.00%
50,A,3,0,100.00%
51,A,3,0,100.00%
52,A,3,0,100.00%
53,A,3,0,100.00%
54,A,1,2,33.33%
55,B,3,0,100.00%
56,B,3,0,100.00%
57,B,3,0,100.00%
58,B,3,0,100.00%
59,B,3,0,100.00%
60,B,3,0,100.00%
62,A,3,0,100.00%
63,A,3,0,100.00%
64,A,3,0,100.00%
65,A,3,0,100.00%
66,A,1,2,33.33%
67,B,0,3,0.00%
68,B,3,0,100.00%
69,B,3,0,100.00%
70,B,3,0,100.00%
71,B,3,0,100.00%
72,B,3,0,100.00%
73,A,3,0,100.00%
75,A,0,3,0.00%
76,A,0,3,0.00%
77,A,3,0,100.00%
78,A,3,0,100.00%
80,B,3,0,100.00%
81,B,3,0,100.00%
82,B,3,0,100.00%
83,B,3,0,100.00%
84,B,3,0,100.00%
85,A,1,2,33.33%
86,A,3,0,100.00%
87,A,3,0,100.00%
88,A,3,0,100.00%
89,A,3,0,100.00%
90,A,2,1,66.67%
91,B,3,0,100.00%
93,B,3,0,100.00%
94,B,3,0,100.00%
96,B,3,0,100.00%
98,A,2,1,66.67%
100,A,1,2,33.33%
101,A,3,0,100.00%
103,B,3,0,100.00%
104,B,3,0,100.00%
107,B,3,0,100.00%
108,B,3,0,100.00%
109,A,3,0,100.00%
110,A,3,0,100.00%
111,A,2,1,66.67%
112,A,1,2,33.33%
114,A,3,0,100.00%
115,B,3,0,100.00%
117,B,3,0,100.00%
118,B,3,0,100.00%
119,B,3,0,100.00%
120,B,3,0,100.00%
121,A,3,0,100.00%
122,A,3,0,100.00%
123,A,3,0,100.00%
