Interaction_ID,Participant_ID,nudge,Task_ID,Action,Sequence_Order
1,8,B,1,Used,1
2,8,B,3,Used,2
3,8,B,2,Used,3
4,9,B,2,Used,1
5,9,B,1,Used,2
6,9,B,3,Used,3
7,10,B,2,Used,1
8,10,B,3,Skipped,2
9,10,B,1,Used,3
10,12,B,3,Used,1
11,12,B,2,Used,2
12,13,A,1,Used,1
13,13,A,2,Used,2
14,12,B,1,Used,3
15,13,A,3,Used,3
16,14,A,1,Used,1
17,14,A,3,Used,2
18,14,A,2,Used,3
19,15,A,2,Used,1
20,16,A,2,Used,1
21,15,A,1,Skipped,2
22,16,A,3,Used,2
23,15,A,3,Used,3
24,16,A,1,Used,3
25,17,A,3,Used,1
26,17,A,1,Used,2
27,17,A,2,Used,3
28,18,A,3,Used,1
29,18,A,2,Used,2
30,18,A,1,Used,3
31,19,B,1,Used,1
32,19,B,2,Used,2
33,19,B,3,Used,3
34,20,B,1,Used,1
35,20,B,3,Used,2
36,20,B,2,Used,3
37,22,B,2,Used,1
38,22,B,3,Used,2
39,22,B,1,Used,3
40,23,B,3,Used,1
41,23,B,1,Used,2
42,23,B,2,Used,3
43,24,B,3,Used,1
44,24,B,2,Used,2
45,24,B,1,Used,3
46,25,A,1,Used,1
47,25,A,2,Used,2
48,25,A,3,Used,3
49,27,A,2,Used,1
50,27,A,1,Used,2
51,27,A,3,Used,3
52,28,A,2,Used,1
53,28,A,3,Used,2
54,28,A,1,Used,3
55,29,A,3,Used,1
56,29,A,1,Used,2
57,29,A,2,Used,3
58,30,A,3,Used,1
59,30,A,2,Used,2
60,30,A,1,Used,3
61,31,B,1,Used,1
62,31,B,2,Used,2
63,31,B,3,Skipped,3
64,32,B,1,Used,1
65,32,B,3,Used,2
66,32,B,2,Used,3
67,33,B,2,Used,1
68,34,B,2,Used,1
69,34,B,3,Used,2
70,33,B,1,Used,2
71,34,B,1,Used,3
72,33,B,3,Used,3
73,36,B,3,Used,1
74,36,B,2,Used,2
75,39,A,2,Used,1
76,36,B,1,Used,3
77,38,A,1,Used,1
78,39,A,1,Skipped,2
79,39,A,3,Skipped,3
80,38,A,3,Used,2
81,38,A,2,Used,3
82,41,A,3,Used,1
83,42,A,3,Used,1
84,42,A,2,Used,2
85,41,A,1,Used,2
86,41,A,2,Used,3
87,42,A,1,Used,3
88,44,B,1,Used,1
89,44,B,3,Used,2
90,44,B,2,Used,3
91,45,B,2,Skipped,1
92,45,B,1,Skipped,2
93,45,B,3,Skipped,3
94,46,B,2,Used,1
95,46,B,3,Used,2
96,46,B,1,Used,3
97,47,B,3,Used,1
98,47,B,1,Used,2
99,47,B,2,Used,3
100,48,B,3,Used,1
101,48,B,2,Used,2
102,48,B,1,Skipped,3
103,49,A,1,Used,1
104,49,A,2,Used,2
105,49,A,3,Used,3
106,50,A,1,Used,1
107,50,A,3,Used,2
108,50,A,2,Used,3
109,51,A,2,Used,1
110,51,A,1,Used,2
111,51,A,3,Used,3
112,52,A,2,Used,1
113,52,A,3,Used,2
114,52,A,1,Used,3
115,53,A,3,Used,1
116,53,A,1,Used,2
117,53,A,2,Used,3
118,54,A,3,Used,1
119,54,A,2,Skipped,2
120,54,A,1,Skipped,3
121,55,B,1,Used,1
122,55,B,2,Used,2
